EVT_2008_STD,Year.x,EVT_Name.x,Year.y,EVT_Name.y,CALAND_v1
Inter-Mountain Basins Sparsely Vegetated Systems,2001,Inter-Mountain Basins Sparsely Vegetated Systems,2010,Inter-Mountain Basins Sparsely Vegetated Systems,sparse
Inter-Mountain Basins Subalpine Limber-Bristlecone Pine Woodland,2001,Inter-Mountain Basins Subalpine Limber-Bristlecone Pine Woodland,2010,Inter-Mountain Basins Subalpine Limber-Bristlecone Pine Woodland,woodland
Introduced Riparian Vegetation,2001,Introduced Riparian Vegetation,2010,Introduced Riparian Shrubland,shrubland
Introduced Upland Vegetation-Annual and Biennial Forbland,2001,Introduced Upland Vegetation-Annual and Biennial Forbland,2010,Introduced Upland Vegetation-Annual and Biennial Forbland,meadow
Introduced Upland Vegetation-Annual Grassland,2001,Introduced Upland Vegetation-Annual Grassland,2010,Introduced Upland Vegetation-Annual Grassland,grassland
Introduced Upland Vegetation-Perennial Grassland and Forbland,2001,Introduced Upland Vegetation-Perennial Grassland and Forbland,2010,Introduced Upland Vegetation-Perennial Grassland and Forbland,grassland
Introduced Upland Vegetation-Shrub,2001,Introduced Upland Vegetation-Shrub,2010,Introduced Upland Vegetation-Shrub,shrubland
Juniperus occidentalis Wooded Herbaceous Alliance,2001,Juniperus occidentalis Wooded Herbaceous Alliance,2010,Juniperus occidentalis Wooded Herbaceous Alliance,woodland
Juniperus occidentalis Woodland Alliance,2001,Juniperus occidentalis Woodland Alliance,2010,Juniperus occidentalis Woodland Alliance,woodland
Klamath-Siskiyou Lower Montane Serpentine Mixed Conifer Woodland,2001,Klamath-Siskiyou Lower Montane Serpentine Mixed Conifer Woodland,2010,Klamath-Siskiyou Lower Montane Serpentine Mixed Conifer Woodland,woodland
Klamath-Siskiyou Upper Montane Serpentine Mixed Conifer Woodland,2001,Klamath-Siskiyou Upper Montane Serpentine Mixed Conifer Woodland,2010,Klamath-Siskiyou Upper Montane Serpentine Mixed Conifer Woodland,woodland
Klamath-Siskiyou Xeromorphic Serpentine Savanna and Chaparral,2001,Klamath-Siskiyou Xeromorphic Serpentine Savanna and Chaparral,2010,Klamath-Siskiyou Xeromorphic Serpentine Savanna and Chaparral,savanna
Mediterranean California Alpine Dry Tundra,2001,Mediterranean California Alpine Dry Tundra,2010,Mediterranean California Alpine Dry Tundra,meadow
Mediterranean California Alpine Fell-Field,2001,Mediterranean California Alpine Fell-Field,2010,Mediterranean California Alpine Fell-Field,sparse
Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland,2001,Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland,2010,Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland,forest
Mediterranean California Lower Montane Black Oak-Conifer Forest and Woodland,2001,Mediterranean California Lower Montane Black Oak-Conifer Forest and Woodland,2010,Mediterranean California Lower Montane Conifer Forest and Woodland,forest
Mediterranean California Mesic Mixed Conifer Forest and Woodland,2001,Mediterranean California Mesic Mixed Conifer Forest and Woodland,2010,Mediterranean California Mesic Mixed Conifer Forest and Woodland,forest
Mediterranean California Mesic Serpentine Woodland and Chaparral,2001,Mediterranean California Mesic Serpentine Woodland and Chaparral,2010,Mediterranean California Mesic Serpentine Woodland and Chaparral,woodland
Mediterranean California Mixed Evergreen Forest,2001,Mediterranean California Mixed Evergreen Forest,2010,Mediterranean California Mixed Evergreen Forest,forest
Mediterranean California Mixed Oak Woodland,2001,Mediterranean California Mixed Oak Woodland,2010,Mediterranean California Mixed Oak Woodland,woodland
Mediterranean California Red Fir Forest,2001,Mediterranean California Red Fir Forest,2010,Mediterranean California Red Fir Forest,forest
Mediterranean California Sparsely Vegetated Systems,2001,Mediterranean California Sparsely Vegetated Systems,2010,Mediterranean California Sparsely Vegetated Systems,sparse
Mediterranean California Subalpine Meadow,2001,Mediterranean California Subalpine Meadow,2010,Mediterranean California Subalpine Meadow,meadow
Mediterranean California Subalpine Woodland,2001,Mediterranean California Subalpine Woodland,2010,Mediterranean California Subalpine Woodland,woodland
Mogollon Chaparral,2001,Mogollon Chaparral,2010,Mogollon Chaparral,shrubland
Mojave Mid-Elevation Mixed Desert Scrub,2001,Mojave Mid-Elevation Mixed Desert Scrub,2010,Mojave Mid-Elevation Mixed Desert Scrub,desert
NASS-Close Grown Crop,2001,NASS-Close Grown Crop,2010,Western Cool Temperate Close Grown Crop,agriculture
NASS-Fallow/Idle Cropland,2001,NASS-Fallow/Idle Cropland,2010,Western Warm Temperate Fallow/Idle Cropland,agriculture
NASS-Orchard,2001,NASS-Orchard,2010,Western Warm Temperate Orchard,agriculture
NASS-Pasture and Hayland,2001,NASS-Pasture and Hayland,2010,Western Cool Temperate Pasture and Hayland,agriculture
NASS-Row Crop,2001,NASS-Row Crop,2010,Western Cool Temperate Row Crop,agriculture
NASS-Row Crop-Close Grown Crop,2001,NASS-Row Crop-Close Grown Crop,2010,Western Cool Temperate Row Crop - Close Grown Crop,agriculture
NASS-Vineyard,2001,NASS-Vineyard,2010,Western Warm Temperate Vineyard,agriculture
Nodata,2001,No Data,2010,No Data,nodata
North American Warm Desert Riparian Systems,2001,North American Warm Desert Riparian Systems,2010,North American Warm Desert Riparian Herbaceous,desert
North American Warm Desert Sparsely Vegetated Systems,2001,North American Warm Desert Sparsely Vegetated Systems,2010,North American Warm Desert Sparsely Vegetated Systems,sparse
North Pacific Alpine and Subalpine Dry Grassland,2001,North Pacific Alpine and Subalpine Dry Grassland,2010,North Pacific Alpine and Subalpine Dry Grassland,grassland
North Pacific Avalanche Chute Shrubland,2001,North Pacific Avalanche Chute Shrubland,2010,North Pacific Avalanche Chute Shrubland,shrubland
North Pacific Broadleaf Landslide Forest and Shrubland,2001,North Pacific Broadleaf Landslide Forest and Shrubland,2010,North Pacific Broadleaf Landslide Forest and Shrubland,forest
North Pacific Dry and Mesic Alpine Dwarf-Shrubland or Fell-field or Meadow,2001,North Pacific Dry and Mesic Alpine Dwarf-Shrubland or Fell-field or Meadow,2010,North Pacific Dry and Mesic Alpine Dwarf-Shrubland or Fell-field or Meadow,meadow
North Pacific Dry Douglas-fir(-Madrone) Forest and Woodland,2001,North Pacific Dry Douglas-fir(-Madrone) Forest and Woodland,2010,North Pacific Dry Douglas-fir(-Madrone) Forest and Woodland,forest
North Pacific Dry-Mesic Silver Fir-Western Hemlock-Douglas-fir Forest,2001,North Pacific Dry-Mesic Silver Fir-Western Hemlock-Douglas-fir Forest,2010,North Pacific Dry-Mesic Silver Fir-Western Hemlock-Douglas-fir Forest,forest
North Pacific Hypermaritime Seasonal Sitka Spruce Forest,2001,North Pacific Hypermaritime Seasonal Sitka Spruce Forest,2010,North Pacific Hypermaritime Seasonal Sitka Spruce Forest,forest
North Pacific Lowland Riparian Forest and Shrubland,2001,North Pacific Lowland Riparian Forest and Shrubland,2010,North Pacific Lowland Riparian Forest and Shrubland,forest
North Pacific Maritime Dry-Mesic Douglas-fir-Western Hemlock Forest,2001,North Pacific Maritime Dry-Mesic Douglas-fir-Western Hemlock Forest,2010,North Pacific Maritime Dry-Mesic Douglas-fir-Western Hemlock Forest,forest
North Pacific Maritime Mesic-Wet Douglas-fir-Western Hemlock Forest,2001,North Pacific Maritime Mesic-Wet Douglas-fir-Western Hemlock Forest,2010,North Pacific Maritime Mesic-Wet Douglas-fir-Western Hemlock Forest,forest
North Pacific Mesic Western Hemlock-Silver Fir Forest,2001,North Pacific Mesic Western Hemlock-Silver Fir Forest,2010,North Pacific Mesic Western Hemlock-Silver Fir Forest,forest
North Pacific Montane Grassland,2001,North Pacific Montane Grassland,2010,North Pacific Montane Grassland,grassland
North Pacific Montane Riparian Woodland and Shrubland,2001,North Pacific Montane Riparian Woodland and Shrubland,2010,North Pacific Montane Riparian Woodland and Shrubland,woodland
North Pacific Montane Shrubland,2001,North Pacific Montane Shrubland,2010,North Pacific Montane Shrubland,shrubland
North Pacific Mountain Hemlock Forest,2001,North Pacific Mountain Hemlock Forest,2010,North Pacific Mountain Hemlock Forest,forest
North Pacific Oak Woodland,2001,North Pacific Oak Woodland,2010,North Pacific Oak Woodland,woodland
North Pacific Sparsely Vegetated Systems,2001,North Pacific Sparsely Vegetated Systems,2010,North Pacific Sparsely Vegetated Systems,sparse
North Pacific Swamp Systems,2001,North Pacific Swamp Systems,2010,North Pacific Swamp Systems,forest
North Pacific Wooded Volcanic Flowage,2001,North Pacific Wooded Volcanic Flowage,2010,North Pacific Wooded Volcanic Flowage,woodland
Northern and Central California Dry-Mesic Chaparral,2001,Northern and Central California Dry-Mesic Chaparral,2010,Northern and Central California Dry-Mesic Chaparral,shrubland
Northern California Coastal Scrub,2001,Northern California Coastal Scrub,2010,Northern California Coastal Scrub,desert
Northern California Mesic Subalpine Woodland,2001,Northern California Mesic Subalpine Woodland,2010,Northern California Mesic Subalpine Woodland,woodland
Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest,2001,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest,2010,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest,forest
Northern Rocky Mountain Foothill Conifer Wooded Steppe,2001,Northern Rocky Mountain Foothill Conifer Wooded Steppe,2010,Northern Rocky Mountain Foothill Conifer Wooded Steppe,woodland
Northern Rocky Mountain Lower Montane-Foothill-Valley Grassland,2001,Northern Rocky Mountain Lower Montane-Foothill-Valley Grassland,2010,Northern Rocky Mountain Lower Montane-Foothill-Valley Grassland,grassland
Northern Rocky Mountain Montane-Foothill Deciduous Shrubland,2001,Northern Rocky Mountain Montane-Foothill Deciduous Shrubland,2010,Northern Rocky Mountain Montane-Foothill Deciduous Shrubland,shrubland
Northern Rocky Mountain Ponderosa Pine Woodland and Savanna,2001,Northern Rocky Mountain Ponderosa Pine Woodland and Savanna,2010,Northern Rocky Mountain Ponderosa Pine Woodland and Savanna,savanna
Open Water,2001,Open Water,2010,Open Water,water
Pacific Coastal Marsh Systems,2001,Pacific Coastal Marsh Systems,2010,Pacific Coastal Marsh Systems,coastal_marsh
Pinus albicaulis Woodland Alliance,2001,Pinus albicaulis Woodland Alliance,2010,Pinus albicaulis Woodland Alliance,woodland
Pinus sabiniana Woodland Alliance,2001,Pinus sabiniana Woodland Alliance,2010,Pinus sabiniana Woodland Alliance,woodland
Pseudotsuga menziesii Forest Alliance,2001,Pseudotsuga menziesii Forest Alliance,2010,Dry-mesic Montane Douglas-fir Forest,forest
Pseudotsuga menziesii Giant Forest Alliance,2001,Pseudotsuga menziesii Giant Forest Alliance,2010,Pseudotsuga menziesii Giant Forest Alliance,forest
Pseudotsuga menziesii-Quercus garryana Woodland Alliance,2001,Pseudotsuga menziesii-Quercus garryana Woodland Alliance,2010,Coastal Douglas-fir Woodland,woodland
Quarries-Strip Mines-Gravel Pits,2001,Quarries-Strip Mines-Gravel Pits,2010,Quarries-Strip Mines-Gravel Pits,barren
Quercus garryana Woodland Alliance,2001,Quercus garryana Woodland Alliance,2010,Quercus garryana Woodland Alliance,woodland
Recently Disturbed Forest,2001,Recently Disturbed Forest,2010,Western Warm Temperate Undeveloped Ruderal Grassland,forest
Rocky Mountain Alpine/Montane Sparsely Vegetated Systems,2001,Rocky Mountain Alpine/Montane Sparsely Vegetated Systems,2010,Rocky Mountain Alpine/Montane Sparsely Vegetated Systems,sparse
Rocky Mountain Aspen Forest and Woodland,2001,Rocky Mountain Aspen Forest and Woodland,2010,Rocky Mountain Aspen Forest and Woodland,forest
Rocky Mountain Gambel Oak-Mixed Montane Shrubland,2001,Rocky Mountain Gambel Oak-Mixed Montane Shrubland,2010,Rocky Mountain Gambel Oak-Mixed Montane Shrubland,shrubland
Rocky Mountain Montane Riparian Systems,2001,Rocky Mountain Montane Riparian Systems,2010,Rocky Mountain Montane Riparian Forest and Woodland,woodland
Rocky Mountain Poor-Site Lodgepole Pine Forest,2001,Rocky Mountain Poor-Site Lodgepole Pine Forest,2010,Rocky Mountain Poor-Site Lodgepole Pine Forest,forest
Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland,2001,Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland,2010,Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland,forest
Rocky Mountain Subalpine-Montane Limber-Bristlecone Pine Woodland,2001,Rocky Mountain Subalpine-Montane Limber-Bristlecone Pine Woodland,2010,Rocky Mountain Subalpine-Montane Limber-Bristlecone Pine Woodland,woodland
Rocky Mountain Subalpine-Montane Mesic Meadow,2001,Rocky Mountain Subalpine-Montane Mesic Meadow,2010,Rocky Mountain Subalpine-Montane Mesic Meadow,meadow
Rocky Mountain Subalpine/Upper Montane Riparian Systems,2001,Rocky Mountain Subalpine/Upper Montane Riparian Systems,2010,Rocky Mountain Subalpine/Upper Montane Riparian Shrubland,woodland
Sequoiadendron giganteum Forest Alliance,2001,Sequoiadendron giganteum Forest Alliance,2010,Sequoiadendron giganteum Forest Alliance,forest
Sierra Nevada Alpine Dwarf-Shrubland,2001,Sierra Nevada Alpine Dwarf-Shrubland,2010,Sierra Nevada Alpine Dwarf-Shrubland,shrubland
Sierra Nevada Subalpine Lodgepole Pine Forest and Woodland,2001,Sierra Nevada Subalpine Lodgepole Pine Forest and Woodland,2010,Sierra Nevada Subalpine Lodgepole Pine Forest and Woodland,forest
Sierran-Intermontane Desert Western White Pine-White Fir Woodland,2001,Sierran-Intermontane Desert Western White Pine-White Fir Woodland,2010,Sierran-Intermontane Desert Western White Pine-White Fir Woodland,woodland
Snow-Ice,2001,Snow-Ice,2010,Snow-Ice,ice
Sonora-Mojave Creosotebush-White Bursage Desert Scrub,2001,Sonora-Mojave Creosotebush-White Bursage Desert Scrub,2010,Sonora-Mojave Creosotebush-White Bursage Desert Scrub,desert
Sonora-Mojave Mixed Salt Desert Scrub,2001,Sonora-Mojave Mixed Salt Desert Scrub,2010,Sonora-Mojave Mixed Salt Desert Scrub,desert
Sonora-Mojave Semi-Desert Chaparral,2001,Sonora-Mojave Semi-Desert Chaparral,2010,Sonora-Mojave Semi-Desert Chaparral,shrubland
Sonoran Granite Outcrop Desert Scrub,2001,Sonoran Granite Outcrop Desert Scrub,2010,Sonoran Granite Outcrop Desert Scrub,desert
Sonoran Mid-Elevation Desert Scrub,2001,Sonoran Mid-Elevation Desert Scrub,2010,Sonoran Mid-Elevation Desert Scrub,desert
Sonoran Paloverde-Mixed Cacti Desert Scrub,2001,Sonoran Paloverde-Mixed Cacti Desert Scrub,2010,Sonoran Paloverde-Mixed Cacti Desert Scrub,desert
Southern California Coastal Scrub,2001,Southern California Coastal Scrub,2010,Southern California Coastal Scrub,desert
Southern California Dry-Mesic Chaparral,2001,Southern California Dry-Mesic Chaparral,2010,Southern California Dry-Mesic Chaparral,shrubland
Southern California Oak Woodland and Savanna,2001,Southern California Oak Woodland and Savanna,2010,Southern California Oak Woodland and Savanna,savanna
Southern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest and Woodland,2001,Southern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest and Woodland,2010,Southern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest and Woodland,forest
Southern Rocky Mountain Mesic Montane Mixed Conifer Forest and Woodland,2001,Southern Rocky Mountain Mesic Montane Mixed Conifer Forest and Woodland,2010,Southern Rocky Mountain Mesic Montane Mixed Conifer Forest and Woodland,forest
Southern Rocky Mountain Ponderosa Pine Savanna,2001,Southern Rocky Mountain Ponderosa Pine Savanna,2010,Southern Rocky Mountain Ponderosa Pine Savanna,savanna
Southern Rocky Mountain Ponderosa Pine Woodland,2001,Southern Rocky Mountain Ponderosa Pine Woodland,2010,Southern Rocky Mountain Ponderosa Pine Woodland,woodland
